"id","text","answer","batch_id","prediction","annotation","metadata","score","is_synthetic"
0,"dijkstra算法是甚麼",True,0,"True","True","","",False
1,"dijkstra演算法是甚麼",True,0,"True","True","","",False
2,"沒有這樣的情形",False,0,"False","False","","",False
3,"我常常會睡不著",False,0,"False","False","","",False
4,"我認為我上班的時候壓力很大",False,0,"False","False","","",False
5,"我認為我生活的場所很髒",False,0,"False","False","","",False
6,"我常常覺得如此",False,0,"False","False","","",False
7,"我從來不會這樣",False,0,"False","False","","",False
8,"沒有過這樣的情形",False,0,"False","False","","",False
9,"好像跟這沒什麼相關",False,0,"False","False","","",False
10,"我都喝咖啡",False,0,"False","False","","",False
11,"我都喝咖啡，可以幫我介紹一下曼特寧咖啡嗎?",True,0,"True","True","","",False
12,"我一周運動3次 每次30分鐘",False,0,"False","False","","",False
13,"我一周運動3次 每次30分鐘，可以幫我介紹一下臥推和深蹲嗎?",True,0,"True","True","","",False
14,"我最近裝了一台健身器材，它叫FIT-9000，能幫我用dijkstra演算法算出非負有向圖的兩點間最短路徑，你可以幫我做到一樣的功能嗎?",True,0,"True","True","","",False
15,"我最近裝了一台健身器材，它叫FIT-9000",False,0,"False","False","","",False
16,"我覺得壓力好大，因為最近要社團表演了，要上台講解dp背包問題的實現，但我還不會，教我",True,0,"True","True","","",False
17,"我覺得壓力好大，因為最近要社團表演了，要上台講解dp背包問題的實現，但我還不會",True,0,"True","True","","",False
18,"我朋友都會這樣",False,0,"False","False","","",False
19,"我的媽媽常常會像會這樣寫一串歌詞寫到半夜",False,0,"False","False","","",False
20,"我的媽媽常常會像會這樣寫一串歌詞寫到半夜，你可以幫他寫完嗎?",True,0,"True","True","","",False
21,"可能是因為我最近買了一輛白色廂型車",False,0,"False","False","","",False
22,"可能是因為我最近買了一輛白色廂型車，我覺得這樣很帥，可以幫我介紹一下這輛車嗎?",True,0,"True","True","","",False
23,"我最近總無法入眠，試著幫我調查原因",False,0,"True","False","","",False
24,"我最近總無法入眠，我只要數學解不出來我就睡不著",False,0,"False","False","","",False
25,"我最近總無法入眠，我只要數學解不出來我就睡不著，你可以試著幫我解看看，題目如下:小名有130元，想要買玩具，玩具有A:100元、B:40元、C:80元，他可以怎麼買讓剩餘的零用錢最少?",True,0,"True","True","","",False
26,"我知道我好像有交感神經失調，但我不太了解形成的原因，可以解釋一下嗎?",True,0,"True","True","","",False
27,"我知道我好像有交感神經失調，但我不太了解形成的原因，你可以朝這個方向提問",False,0,"True","False","","",False
28,"我不太確定我的憂鬱症狀是從甚麼時候開始的",False,0,"False","False","","",False
29,"我不太確定我的憂鬱症狀是從甚麼時候開始的，也不清楚憂鬱和憂鬱症之間的差別，告訴我兩個有甚麼差",True,0,"True","True","","",False
